"Reference";"Qty";"Value";"DNP";"Exclude from BOM";"Exclude from Board";"Footprint";"Datasheet"
"C1,C7";"2";"2.2uF [HV]";"";"";"";"CL31B225KCHSNNE:CAPC3216X180N";"https://ms.componentsearchengine.com/Datasheets/2/CL31B225KCHSNNE.pdf"
"C2,C3,C20,C29";"4";"100nF [HV]";"";"";"";"C0603C104K1RACAUTO:CAPC1608X95N";"https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/specsheet/C0603C104K1RACAUTO"
"C4,C5,C15,C21,C27,C28";"6";"0.1uF";"";"";"";"CC0603KRX7R9BB104:CAPC1608X90N";"https://www.digikey.com/en/products/detail/yageo/CC0603KRX7R9BB104/2103082"
"C6";"1";"470nF [HV]";"";"";"";"CGA5L2X7R2A474K160AA:CAPC3216X190N";""
"C8";"1";"150uF";"";"";"";"EEH-ZL1E151P:EEEHP1H4R7P";"https://industrial.panasonic.com/cdbs/www-data/pdf/RDD0000/ast-ind-303928.pdf"
"C9";"1";"0.47μF";"";"";"";"C0805X474K5RECAUTO:C0805";"https://www.yageogroup.com/content/datasheet/asset/file/KEM_C1090_X7R_ESD"
"C10,C13";"2";"0.1μF";"";"";"";"CC0603KRX7R9BB104:CAPC1608X90N";"https://www.digikey.com/en/products/detail/yageo/CC0603KRX7R9BB104/2103082"
"C11,C12,C14,C16,C17,C31";"6";"4.7uF";"";"";"";"UMJ325AB7475KMHP:CAPC3225X280N";"https://ds.yuden.co.jp/TYCOMPAS/or/specSheet?pn=MCJCU32MAB7475KPPA01"
"C18,C19,C22,C30";"4";"4.7uF [HV]";"";"";"";"KAM32LR72A475KU:CAPC3225X94N";""
"C23";"1";"390uF";"";"";"";"EEE-TP1K391V:EEEFK0J682AV";"http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/RDE0000C1255.pdf"
"C24";"1";"4n7";"";"";"";"GRM188R72A472KA01D:CAPC1608X90N";"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R72A472KA01-01A.pdf"
"C25";"1";"100nF";"";"";"";"GRM155R71H104KE14J:GRM15x";"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71H104KE14-01A.pdf"
"C26,C36,C40,C42";"4";"1uF";"";"";"";"C2012X7R1H105K125AB:CAPC2012X145N";"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf"
